county_name,Year,Series,Permits
DeKalb,2024,Multi-family,385.0
DeKalb,2024,Single-family,855.0
DeKalb,2024,All,1240.0
DeKalb,2024,Multi-family,385.0
DeKalb,2024,Single-family,855.0
Douglas,1980,All,455.0
Douglas,1980,Multi-family,6.0
Douglas,1980,Single-family,449.0
Douglas,1981,All,268.0
Douglas,1981,Multi-family,6.0
Douglas,1981,Single-family,262.0
Douglas,1982,All,387.0
Douglas,1982,Multi-family,12.0
Douglas,1982,Single-family,375.0
Douglas,1983,All,882.0
Douglas,1983,Multi-family,12.0
Douglas,1983,Single-family,870.0
Douglas,1984,All,870.0
Douglas,1984,Multi-family,215.0
Douglas,1984,Single-family,655.0
Douglas,1985,All,1132.0
Douglas,1985,Multi-family,317.0
Douglas,1985,Single-family,815.0
Douglas,1986,All,1381.0
Douglas,1986,Multi-family,384.0
Douglas,1986,Single-family,997.0
Douglas,1987,All,1352.0
Douglas,1987,Multi-family,348.0
Douglas,1987,Single-family,1004.0
Douglas,1988,All,1487.0
Douglas,1988,Multi-family,630.0
Douglas,1988,Single-family,857.0
Douglas,1989,All,1663.0
Douglas,1989,Multi-family,1098.0
Douglas,1989,Single-family,565.0
Douglas,1990,All,559.0
Douglas,1990,Multi-family,4.0
Douglas,1990,Single-family,555.0
Douglas,1991,All,960.0
Douglas,1991,Multi-family,367.0
Douglas,1991,Single-family,593.0
Douglas,1992,All,710.0
Douglas,1992,Multi-family,34.0
Douglas,1992,Single-family,676.0
Douglas,1993,All,786.0
Douglas,1993,Multi-family,4.0
Douglas,1993,Single-family,782.0
Douglas,1994,All,776.0
Douglas,1994,Multi-family,100.0
Douglas,1994,Single-family,676.0
Douglas,1995,All,682.0
Douglas,1995,Multi-family,0.0
Douglas,1995,Single-family,682.0
Douglas,1996,All,1435.0
Douglas,1996,Multi-family,680.0
Douglas,1996,Single-family,755.0
Douglas,1997,All,759.0
Douglas,1997,Multi-family,2.0
Douglas,1997,Single-family,757.0
Douglas,1998,All,929.0
Douglas,1998,Multi-family,174.0
Douglas,1998,Single-family,755.0
Douglas,1999,All,1306.0
Douglas,1999,Multi-family,448.0
Douglas,1999,Single-family,858.0
Douglas,2000,All,901.0
